datetime,co,no,no2,o3,pm10,pm25,relativehumidity,so2,temperature,location_id,location_name
2025-02-19 01:45:00+05:30,0.37,2.66,8.76,52.29,127.65,59.4,43.69,8.93,25.75,3409469,"Kasarvadavali, Thane"
2025-02-19 02:00:00+05:30,0.46,2.52,7.57,43.3,127.65,59.4,45.84,9.31,25.37,3409469,"Kasarvadavali, Thane"
2025-02-19 02:15:00+05:30,0.52,2.52,11.5,41.96,127.65,59.4,50.44,8.46,24.22,3409469,"Kasarvadavali, Thane"
2025-02-19 02:30:00+05:30,0.41,2.47,6.48,52.79,124.95,59.03,49.1,7.93,24.35,3409469,"Kasarvadavali, Thane"
2025-02-19 02:45:00+05:30,0.4,2.47,4.51,53.75,87.01,53.9,48.47,8.38,24.35,3409469,"Kasarvadavali, Thane"
2025-02-19 03:00:00+05:30,0.43,2.48,4.89,50.43,87.01,53.9,49.62,8.33,24.1,3409469,"Kasarvadavali, Thane"
2025-02-19 03:15:00+05:30,0.47,2.49,6.11,46.8,87.01,53.9,50.48,8.41,23.89,3409469,"Kasarvadavali, Thane"
2025-02-19 03:30:00+05:30,0.6,47.84,21.31,22.54,86.83,53.84,51.65,9.22,23.75,3409469,"Kasarvadavali, Thane"
2025-02-19 03:45:00+05:30,0.73,136.99,32.19,0.4,84.31,52.93,52.79,9.06,23.52,3409469,"Kasarvadavali, Thane"
2025-02-19 04:00:00+05:30,0.66,77.78,32.23,0.04,84.31,52.93,54.7,5.83,22.97,3409469,"Kasarvadavali, Thane"
2025-02-19 04:15:00+05:30,0.64,71.46,32.46,1.21,84.31,52.93,54.44,8.12,22.92,3409469,"Kasarvadavali, Thane"
2025-02-19 04:30:00+05:30,0.65,5.63,22.47,21.37,84.41,52.0,54.48,8.69,22.84,3409469,"Kasarvadavali, Thane"
2025-02-19 04:45:00+05:30,0.69,13.24,21.92,17.26,85.83,38.96,54.69,11.03,22.85,3409469,"Kasarvadavali, Thane"
