datetime,co,no,no2,o3,pm10,pm25,relativehumidity,so2,temperature,location_id,location_name
2025-02-19 01:45:00+05:30,0.31,1.54,13.18,55.69,65.26,39.71,67.23,11.7,29.88,3409472,"Upvan Fort, Thane"
2025-02-19 02:00:00+05:30,0.32,0.6,15.09,51.08,65.16,39.25,68.57,10.22,29.39,3409472,"Upvan Fort, Thane"
2025-02-19 02:15:00+05:30,0.39,0.45,16.01,49.55,63.38,31.43,69.42,10.09,29.14,3409472,"Upvan Fort, Thane"
2025-02-19 02:30:00+05:30,0.33,0.56,18.11,46.69,63.38,31.43,70.63,9.57,28.67,3409472,"Upvan Fort, Thane"
2025-02-19 02:45:00+05:30,0.27,0.65,17.41,48.83,63.38,31.43,70.92,9.89,28.37,3409472,"Upvan Fort, Thane"
2025-02-19 03:00:00+05:30,0.26,0.56,15.39,50.5,63.12,31.44,69.76,11.43,28.73,3409472,"Upvan Fort, Thane"
2025-02-19 03:15:00+05:30,0.29,0.61,15.42,48.54,58.82,31.6,70.28,11.22,28.56,3409472,"Upvan Fort, Thane"
2025-02-19 03:30:00+05:30,0.27,0.63,13.9,49.08,58.82,31.6,71.94,10.62,28.06,3409472,"Upvan Fort, Thane"
2025-02-19 03:45:00+05:30,0.27,1.21,17.4,45.01,58.82,31.6,73.09,10.9,27.78,3409472,"Upvan Fort, Thane"
2025-02-19 04:00:00+05:30,0.34,0.92,19.96,41.77,58.74,31.52,74.12,5.24,27.45,3409472,"Upvan Fort, Thane"
2025-02-19 04:15:00+05:30,0.48,0.83,21.83,38.65,57.29,30.21,76.31,10.05,26.95,3409472,"Upvan Fort, Thane"
2025-02-19 04:30:00+05:30,0.48,0.91,30.66,28.6,57.29,30.21,77.11,10.96,26.75,3409472,"Upvan Fort, Thane"
2025-02-19 04:45:00+05:30,0.49,1.05,38.54,22.1,57.29,30.21,77.75,11.3,26.7,3409472,"Upvan Fort, Thane"
2025-02-19 05:00:00+05:30,0.49,3.6,38.48,23.82,57.26,30.28,75.27,13.23,27.25,3409472,"Upvan Fort, Thane"
2025-02-19 05:15:00+05:30,0.47,2.22,30.74,31.46,56.74,31.49,75.48,14.46,27.22,3409472,"Upvan Fort, Thane"
2025-02-19 05:30:00+05:30,0.49,1.7,32.47,27.61,56.74,31.49,76.68,14.44,26.91,3409472,"Upvan Fort, Thane"
2025-02-19 05:45:00+05:30,0.47,2.45,38.75,23.49,56.74,31.49,79.04,12.69,26.22,3409472,"Upvan Fort, Thane"
2025-02-19 06:00:00+05:30,0.53,1.8,46.04,15.67,57.23,31.74,79.0,14.3,26.36,3409472,"Upvan Fort, Thane"
2025-02-19 06:15:00+05:30,0.67,2.65,61.25,6.33,64.09,35.21,79.5,16.32,26.36,3409472,"Upvan Fort, Thane"
2025-02-19 06:30:00+05:30,0.64,4.99,61.43,7.1,64.09,35.21,81.01,16.07,26.0,3409472,"Upvan Fort, Thane"
2025-02-19 06:45:00+05:30,0.69,8.41,60.08,5.8,64.09,35.21,82.13,15.15,25.66,3409472,"Upvan Fort, Thane"
2025-02-19 07:00:00+05:30,0.78,15.28,64.75,2.09,65.35,35.57,82.42,16.99,25.71,3409472,"Upvan Fort, Thane"
2025-02-19 07:15:00+05:30,0.87,17.49,65.37,2.65,86.82,41.73,81.26,20.88,26.06,3409472,"Upvan Fort, Thane"
2025-02-19 07:30:00+05:30,0.98,21.61,62.37,4.79,86.82,41.73,80.48,25.17,26.54,3409472,"Upvan Fort, Thane"
2025-02-19 07:45:00+05:30,0.94,15.55,57.87,9.99,86.82,41.73,78.29,26.99,27.21,3409472,"Upvan Fort, Thane"
2025-02-19 08:00:00+05:30,0.86,18.57,56.77,13.19,87.61,42.37,77.2,18.95,27.73,3409472,"Upvan Fort, Thane"
2025-02-19 08:15:00+05:30,0.95,14.21,56.56,18.25,98.72,51.3,75.07,28.2,28.33,3409472,"Upvan Fort, Thane"
2025-02-19 08:30:00+05:30,0.84,11.12,55.1,23.47,98.72,51.3,71.4,27.46,29.31,3409472,"Upvan Fort, Thane"
2025-02-19 08:45:00+05:30,0.87,15.97,60.76,21.38,98.72,51.3,70.36,24.95,29.85,3409472,"Upvan Fort, Thane"
2025-02-19 09:00:00+05:30,0.7,13.79,53.14,26.97,99.07,51.45,65.98,21.22,30.64,3409472,"Upvan Fort, Thane"
2025-02-19 09:15:00+05:30,0.51,6.94,32.35,42.35,104.02,54.04,62.75,16.29,31.14,3409472,"Upvan Fort, Thane"
2025-02-19 09:30:00+05:30,0.34,5.75,24.13,49.45,104.02,54.04,60.9,12.84,31.42,3409472,"Upvan Fort, Thane"
2025-02-19 09:45:00+05:30,0.3,3.33,19.02,52.94,104.02,54.04,60.89,12.5,31.5,3409472,"Upvan Fort, Thane"
2025-02-19 10:00:00+05:30,0.26,2.61,16.99,57.5,103.21,52.99,60.4,13.45,31.75,3409472,"Upvan Fort, Thane"
2025-02-19 10:15:00+05:30,0.0,0.0,0.0,63.34,91.83,35.13,60.12,16.38,32.53,3409472,"Upvan Fort, Thane"
2025-02-19 10:30:00+05:30,0.33,0.43,10.07,63.01,91.83,35.13,59.43,14.54,32.67,3409472,"Upvan Fort, Thane"
2025-02-19 10:45:00+05:30,0.37,0.44,13.47,62.45,91.83,35.13,58.53,12.24,33.26,3409472,"Upvan Fort, Thane"
2025-02-19 11:00:00+05:30,0.36,0.4,13.18,61.86,90.59,35.15,57.93,11.46,33.36,3409472,"Upvan Fort, Thane"
2025-02-19 11:15:00+05:30,0.34,0.34,12.24,61.54,73.25,35.57,57.4,10.72,33.46,3409472,"Upvan Fort, Thane"
