datetime,co,no,no2,o3,pm10,pm25,relativehumidity,so2,temperature,location_id,location_name
2025-02-19 01:45:00+05:30,1.25,35.13,45.11,1.28,175.88,71.49,65.98,10.43,24.21,3409476,"CBD Belapur, Belapur"
2025-02-19 02:00:00+05:30,1.18,11.88,41.66,4.51,175.88,71.49,65.98,11.04,24.21,3409476,"CBD Belapur, Belapur"
2025-02-19 02:15:00+05:30,1.35,50.5,44.72,4.51,175.75,71.18,65.74,11.48,24.15,3409476,"CBD Belapur, Belapur"
2025-02-19 02:30:00+05:30,1.37,71.84,44.47,1.14,174.96,69.1,68.35,11.16,23.8,3409476,"CBD Belapur, Belapur"
2025-02-19 02:45:00+05:30,1.17,41.8,43.03,0.68,174.96,69.1,68.35,10.97,23.8,3409476,"CBD Belapur, Belapur"
2025-02-19 03:00:00+05:30,1.35,86.18,42.76,1.12,172.39,68.38,68.47,9.19,23.69,3409476,"CBD Belapur, Belapur"
2025-02-19 03:15:00+05:30,1.35,83.12,41.81,1.12,172.39,68.38,69.69,8.89,23.61,3409476,"CBD Belapur, Belapur"
2025-02-19 03:30:00+05:30,1.27,74.44,39.56,0.66,155.65,63.21,69.63,8.3,23.53,3409476,"CBD Belapur, Belapur"
2025-02-19 03:45:00+05:30,1.06,23.92,31.12,4.41,155.65,63.21,70.23,7.17,23.29,3409476,"CBD Belapur, Belapur"
2025-02-19 04:00:00+05:30,1.04,3.65,29.72,5.69,155.41,63.09,68.97,7.11,23.13,3409476,"CBD Belapur, Belapur"
2025-02-19 04:15:00+05:30,1.04,2.44,27.28,5.69,155.41,63.09,67.98,7.23,23.06,3409476,"CBD Belapur, Belapur"
2025-02-19 04:30:00+05:30,1.06,2.06,26.23,5.94,153.82,62.25,69.36,6.8,23.02,3409476,"CBD Belapur, Belapur"
2025-02-19 04:45:00+05:30,1.06,6.88,33.06,5.94,153.82,62.25,69.38,6.56,22.93,3409476,"CBD Belapur, Belapur"
2025-02-19 05:00:00+05:30,1.1,22.07,35.71,2.97,153.63,62.25,67.3,6.91,23.07,3409476,"CBD Belapur, Belapur"
2025-02-19 05:15:00+05:30,1.18,38.49,39.58,1.13,152.37,58.25,69.05,7.13,22.79,3409476,"CBD Belapur, Belapur"
2025-02-19 05:30:00+05:30,1.18,11.91,35.91,1.13,152.37,58.25,69.73,6.3,22.66,3409476,"CBD Belapur, Belapur"
2025-02-19 05:45:00+05:30,1.04,3.69,30.65,6.32,152.37,58.25,68.34,5.7,22.75,3409476,"CBD Belapur, Belapur"
2025-02-19 06:00:00+05:30,1.13,25.3,32.17,3.84,150.86,58.95,69.91,6.79,22.64,3409476,"CBD Belapur, Belapur"
2025-02-19 06:15:00+05:30,1.2,43.11,37.24,0.98,141.09,63.96,72.02,6.24,22.5,3409476,"CBD Belapur, Belapur"
2025-02-19 06:30:00+05:30,1.2,48.23,37.11,0.74,141.09,63.96,73.3,6.52,22.38,3409476,"CBD Belapur, Belapur"
2025-02-19 06:45:00+05:30,1.09,22.66,32.27,2.2,141.09,63.96,71.82,6.62,22.31,3409476,"CBD Belapur, Belapur"
2025-02-19 07:00:00+05:30,1.06,7.98,29.43,3.96,142.15,64.42,71.52,6.67,22.22,3409476,"CBD Belapur, Belapur"
2025-02-19 07:15:00+05:30,1.47,85.9,34.3,1.89,149.06,67.67,74.12,7.6,22.34,3409476,"CBD Belapur, Belapur"
2025-02-19 07:30:00+05:30,1.61,119.64,34.88,1.06,149.06,67.67,75.66,7.8,22.49,3409476,"CBD Belapur, Belapur"
2025-02-19 07:45:00+05:30,1.27,33.81,32.47,0.99,149.06,67.67,71.68,7.28,22.96,3409476,"CBD Belapur, Belapur"
2025-02-19 08:15:00+05:30,1.33,26.57,35.42,1.76,151.29,67.23,68.15,5.99,23.65,3409476,"CBD Belapur, Belapur"
2025-02-19 08:30:00+05:30,1.46,42.05,38.86,2.28,176.19,61.34,66.09,5.97,24.59,3409476,"CBD Belapur, Belapur"
2025-02-19 08:45:00+05:30,1.73,55.54,44.05,2.64,176.19,61.34,62.58,5.73,26.16,3409476,"CBD Belapur, Belapur"
2025-02-19 09:00:00+05:30,1.74,47.94,52.85,2.64,176.19,61.34,53.49,5.65,28.94,3409476,"CBD Belapur, Belapur"
2025-02-19 09:15:00+05:30,1.91,44.72,61.94,6.54,179.92,61.42,54.41,5.92,29.16,3409476,"CBD Belapur, Belapur"
2025-02-19 09:30:00+05:30,1.91,48.05,70.06,6.54,203.83,61.98,50.93,6.47,29.68,3409476,"CBD Belapur, Belapur"
2025-02-19 09:45:00+05:30,1.94,24.51,68.12,8.94,203.83,61.98,48.92,6.47,30.39,3409476,"CBD Belapur, Belapur"
2025-02-19 10:00:00+05:30,1.86,11.84,60.06,20.15,203.83,61.98,47.46,7.72,31.19,3409476,"CBD Belapur, Belapur"
2025-02-19 10:15:00+05:30,1.34,3.7,38.5,39.49,210.19,65.92,42.15,11.63,32.06,3409476,"CBD Belapur, Belapur"
2025-02-19 10:45:00+05:30,1.18,1.63,21.19,47.34,248.37,92.11,32.85,24.72,34.12,3409476,"CBD Belapur, Belapur"
2025-02-19 11:00:00+05:30,1.07,1.25,22.4,69.46,248.37,92.11,29.13,26.38,34.92,3409476,"CBD Belapur, Belapur"
2025-02-19 11:15:00+05:30,0.9,1.21,21.67,74.75,242.92,91.27,26.76,31.05,35.64,3409476,"CBD Belapur, Belapur"
2025-02-19 11:30:00+05:30,0.78,0.97,14.33,56.73,208.86,85.48,18.43,34.44,36.8,3409476,"CBD Belapur, Belapur"
2025-02-19 11:45:00+05:30,0.78,0.53,11.7,59.96,208.86,85.48,18.15,29.1,37.62,3409476,"CBD Belapur, Belapur"
2025-02-19 12:00:00+05:30,0.81,0.42,11.33,64.95,199.3,82.76,17.78,25.34,37.73,3409476,"CBD Belapur, Belapur"
2025-02-19 12:15:00+05:30,0.91,2.49,23.49,65.63,137.16,63.22,18.48,22.75,38.36,3409476,"CBD Belapur, Belapur"
2025-02-19 12:30:00+05:30,0.9,0.54,22.22,65.63,137.16,63.22,18.48,21.57,38.36,3409476,"CBD Belapur, Belapur"
2025-02-19 12:45:00+05:30,0.94,0.43,20.9,78.53,137.16,63.22,19.48,19.72,37.98,3409476,"CBD Belapur, Belapur"
2025-02-19 13:00:00+05:30,0.89,0.61,23.92,70.96,137.16,63.22,22.76,19.89,38.09,3409476,"CBD Belapur, Belapur"
2025-02-19 13:15:00+05:30,0.86,3.96,32.28,70.96,136.3,63.91,21.56,19.31,37.61,3409476,"CBD Belapur, Belapur"
2025-02-19 13:30:00+05:30,0.86,7.66,48.54,50.32,130.73,68.83,21.98,18.99,37.8,3409476,"CBD Belapur, Belapur"
2025-02-19 13:45:00+05:30,1.07,9.12,54.63,34.23,130.73,68.83,22.33,17.12,37.95,3409476,"CBD Belapur, Belapur"
2025-02-19 14:00:00+05:30,0.88,2.98,37.1,34.23,130.73,68.83,23.39,18.53,38.03,3409476,"CBD Belapur, Belapur"
2025-02-19 14:15:00+05:30,0.88,0.86,24.62,54.24,130.95,69.41,21.86,17.97,37.88,3409476,"CBD Belapur, Belapur"
2025-02-19 14:30:00+05:30,1.0,1.26,37.96,68.81,132.36,73.55,22.13,16.06,37.83,3409476,"CBD Belapur, Belapur"
2025-02-19 14:45:00+05:30,0.91,0.12,24.22,94.7,132.36,73.55,24.11,15.99,37.38,3409476,"CBD Belapur, Belapur"
2025-02-19 15:00:00+05:30,0.98,0.33,32.2,94.7,132.36,73.55,26.22,13.93,37.38,3409476,"CBD Belapur, Belapur"
2025-02-19 15:15:00+05:30,0.98,0.43,34.55,92.63,128.99,54.52,28.53,14.18,37.02,3409476,"CBD Belapur, Belapur"
2025-02-19 15:30:00+05:30,0.99,0.33,25.45,115.76,128.99,54.52,28.9,15.28,36.69,3409476,"CBD Belapur, Belapur"
2025-02-19 15:45:00+05:30,0.89,0.0,19.33,115.58,128.99,54.52,30.63,15.93,35.94,3409476,"CBD Belapur, Belapur"
2025-02-19 16:00:00+05:30,1.08,0.28,34.78,86.54,129.96,54.52,30.63,17.19,35.94,3409476,"CBD Belapur, Belapur"
2025-02-19 16:15:00+05:30,0.9,0.08,25.88,116.29,136.27,52.96,31.59,17.37,35.56,3409476,"CBD Belapur, Belapur"
2025-02-19 16:30:00+05:30,0.95,0.76,25.79,104.89,136.27,41.72,32.29,18.96,34.72,3409476,"CBD Belapur, Belapur"
2025-02-19 16:45:00+05:30,0.95,0.08,26.1,99.83,136.27,41.72,33.39,19.16,34.08,3409476,"CBD Belapur, Belapur"
2025-02-19 17:15:00+05:30,0.95,-0.06,22.25,98.68,136.04,41.92,32.71,18.82,33.76,3409476,"CBD Belapur, Belapur"
2025-02-19 17:45:00+05:30,0.99,0.33,31.23,81.9,134.27,43.87,35.55,17.77,32.86,3409476,"CBD Belapur, Belapur"
2025-02-19 18:00:00+05:30,1.01,0.1,24.35,84.77,134.27,43.87,36.32,17.77,32.49,3409476,"CBD Belapur, Belapur"
2025-02-19 18:15:00+05:30,1.0,-0.14,21.25,90.22,131.84,44.16,34.7,19.21,32.24,3409476,"CBD Belapur, Belapur"
2025-02-19 21:15:00+05:30,1.68,8.88,50.41,2.14,156.1,43.63,53.35,17.06,27.39,3409476,"CBD Belapur, Belapur"
2025-02-19 21:30:00+05:30,1.6,7.17,48.94,6.96,183.94,54.73,54.0,17.06,27.17,3409476,"CBD Belapur, Belapur"
2025-02-19 22:00:00+05:30,1.75,28.01,52.11,1.98,184.63,56.22,56.61,15.76,26.31,3409476,"CBD Belapur, Belapur"
2025-02-19 22:15:00+05:30,1.4,11.38,46.86,6.32,187.5,63.06,56.47,15.59,26.13,3409476,"CBD Belapur, Belapur"
2025-02-19 22:30:00+05:30,1.33,4.91,40.68,13.29,187.5,63.06,57.15,15.66,25.89,3409476,"CBD Belapur, Belapur"
2025-02-19 22:45:00+05:30,1.33,6.47,42.43,13.29,187.5,63.06,57.15,15.65,25.89,3409476,"CBD Belapur, Belapur"
2025-02-19 23:00:00+05:30,1.52,11.61,46.36,2.59,187.5,63.06,58.9,14.43,25.71,3409476,"CBD Belapur, Belapur"
2025-02-19 23:15:00+05:30,1.39,8.57,46.4,2.37,185.27,63.91,59.99,13.69,25.48,3409476,"CBD Belapur, Belapur"
2025-02-19 23:30:00+05:30,1.56,16.69,48.69,2.51,172.08,69.39,60.16,13.72,25.27,3409476,"CBD Belapur, Belapur"
2025-02-19 23:45:00+05:30,1.72,64.82,53.51,1.51,172.08,69.39,61.5,13.41,25.09,3409476,"CBD Belapur, Belapur"
2025-02-20 00:45:00+05:30,1.0,1.56,31.51,32.19,176.38,66.48,56.7,13.7,24.82,3409476,"CBD Belapur, Belapur"
2025-02-20 01:00:00+05:30,1.0,29.7,46.78,32.19,176.38,66.48,56.7,14.3,24.82,3409476,"CBD Belapur, Belapur"
2025-02-20 01:15:00+05:30,1.32,64.72,58.74,10.34,175.19,67.07,56.93,14.06,24.95,3409476,"CBD Belapur, Belapur"
2025-02-20 01:30:00+05:30,1.37,39.64,58.01,2.07,167.44,71.33,59.55,13.79,24.64,3409476,"CBD Belapur, Belapur"
2025-02-20 01:45:00+05:30,1.08,4.93,40.19,19.46,167.44,71.33,60.27,13.22,24.53,3409476,"CBD Belapur, Belapur"
2025-02-20 02:00:00+05:30,1.0,1.78,26.81,24.02,169.21,71.33,60.47,13.42,24.32,3409476,"CBD Belapur, Belapur"
2025-02-20 02:15:00+05:30,1.27,2.67,37.91,14.1,180.76,65.93,61.29,14.09,24.01,3409476,"CBD Belapur, Belapur"
2025-02-20 02:30:00+05:30,1.07,1.58,30.64,14.1,180.76,65.93,61.52,13.99,24.01,3409476,"CBD Belapur, Belapur"
2025-02-20 02:45:00+05:30,1.08,1.12,25.29,27.47,180.76,65.93,61.9,14.0,23.74,3409476,"CBD Belapur, Belapur"
2025-02-20 03:00:00+05:30,1.08,1.35,33.89,27.47,180.76,65.93,61.9,13.49,23.74,3409476,"CBD Belapur, Belapur"
2025-02-20 03:15:00+05:30,1.11,1.31,33.1,31.78,181.27,76.76,61.87,13.75,23.47,3409476,"CBD Belapur, Belapur"
2025-02-20 03:30:00+05:30,0.94,0.93,22.16,37.23,181.27,76.76,62.54,14.37,23.32,3409476,"CBD Belapur, Belapur"
2025-02-20 03:45:00+05:30,0.87,0.88,17.71,34.03,181.27,76.76,63.07,14.44,23.22,3409476,"CBD Belapur, Belapur"
2025-02-20 04:00:00+05:30,1.3,51.32,44.74,4.44,180.15,76.61,67.3,15.37,23.1,3409476,"CBD Belapur, Belapur"
2025-02-20 04:15:00+05:30,1.54,90.23,51.63,1.75,172.82,75.51,68.18,15.74,23.05,3409476,"CBD Belapur, Belapur"
2025-02-20 04:30:00+05:30,1.47,65.81,51.48,1.38,172.82,75.51,67.7,15.1,22.89,3409476,"CBD Belapur, Belapur"
2025-02-20 04:45:00+05:30,1.12,8.35,38.22,13.48,172.82,75.51,66.29,14.46,22.83,3409476,"CBD Belapur, Belapur"
2025-02-20 05:00:00+05:30,1.07,3.99,30.9,14.91,173.34,76.08,66.39,14.7,22.77,3409476,"CBD Belapur, Belapur"
2025-02-20 05:15:00+05:30,1.24,33.87,46.26,2.41,176.76,80.22,67.69,14.95,22.68,3409476,"CBD Belapur, Belapur"
