datetime,co,no,no2,o3,pm10,pm25,relativehumidity,so2,temperature,location_id,location_name
2025-02-19 15:30:00+05:30,0.29,0.91,22.56,61.53,110.07,23.93,84.98,15.54,27.96,3409487,"Sanpada, Navi Mumbai"
2025-02-20 16:45:00+05:30,0.34,1.35,38.55,60.76,151.53,41.03,84.98,12.57,27.96,3409487,"Sanpada, Navi Mumbai"
2025-02-20 17:15:00+05:30,0.52,1.5,45.52,52.13,149.12,39.68,84.98,10.42,27.96,3409487,"Sanpada, Navi Mumbai"
2025-02-20 17:30:00+05:30,0.43,1.21,39.91,50.24,149.12,39.68,84.98,12.68,27.96,3409487,"Sanpada, Navi Mumbai"
2025-02-20 17:45:00+05:30,0.38,0.99,39.24,48.36,149.12,39.68,84.98,13.05,27.96,3409487,"Sanpada, Navi Mumbai"
2025-02-20 18:00:00+05:30,0.37,0.89,40.57,48.73,147.56,38.7,84.98,12.79,27.96,3409487,"Sanpada, Navi Mumbai"
2025-02-20 18:15:00+05:30,0.38,0.7,44.35,47.44,136.31,31.66,84.98,12.3,27.96,3409487,"Sanpada, Navi Mumbai"
2025-02-20 18:30:00+05:30,0.41,0.6,49.92,43.83,136.31,31.66,84.98,11.32,27.96,3409487,"Sanpada, Navi Mumbai"
2025-02-20 18:45:00+05:30,0.44,0.64,57.91,37.59,136.31,31.66,84.98,10.59,27.96,3409487,"Sanpada, Navi Mumbai"
2025-02-20 19:00:00+05:30,0.5,0.68,65.15,34.04,136.89,31.51,84.98,10.01,27.96,3409487,"Sanpada, Navi Mumbai"
2025-02-20 19:15:00+05:30,0.69,0.76,70.52,25.64,141.1,30.43,84.98,9.1,27.96,3409487,"Sanpada, Navi Mumbai"
2025-02-20 19:30:00+05:30,0.86,4.45,115.53,12.11,141.1,30.43,84.98,8.72,27.96,3409487,"Sanpada, Navi Mumbai"
2025-02-20 19:45:00+05:30,0.96,4.35,135.23,7.58,141.1,30.43,84.98,9.18,27.96,3409487,"Sanpada, Navi Mumbai"
2025-02-20 20:00:00+05:30,1.0,5.0,133.55,9.12,146.71,31.41,84.98,10.02,27.96,3409487,"Sanpada, Navi Mumbai"
2025-02-20 20:15:00+05:30,0.98,1.84,123.92,13.34,187.0,38.45,84.98,9.81,27.96,3409487,"Sanpada, Navi Mumbai"
2025-02-20 20:30:00+05:30,0.95,1.44,117.46,13.93,187.0,38.45,84.98,11.22,27.96,3409487,"Sanpada, Navi Mumbai"
2025-02-20 20:45:00+05:30,0.96,1.26,112.22,13.18,187.0,38.45,84.98,11.54,27.96,3409487,"Sanpada, Navi Mumbai"
2025-02-20 21:00:00+05:30,0.95,1.87,109.25,12.74,185.53,39.69,84.98,11.92,27.96,3409487,"Sanpada, Navi Mumbai"
2025-02-20 21:15:00+05:30,1.12,7.98,117.1,4.52,175.0,48.54,84.98,10.72,27.96,3409487,"Sanpada, Navi Mumbai"
2025-02-20 21:30:00+05:30,1.18,29.58,119.51,1.82,175.0,48.54,84.98,10.29,27.96,3409487,"Sanpada, Navi Mumbai"
2025-02-20 21:45:00+05:30,1.34,62.1,112.33,1.1,175.0,48.54,84.98,10.15,27.96,3409487,"Sanpada, Navi Mumbai"
2025-02-20 22:00:00+05:30,0.71,2.43,73.64,13.33,172.81,48.42,84.98,12.71,27.96,3409487,"Sanpada, Navi Mumbai"
2025-02-20 22:15:00+05:30,0.57,2.17,65.0,20.99,157.03,47.55,84.98,15.57,27.96,3409487,"Sanpada, Navi Mumbai"
2025-02-20 22:30:00+05:30,0.99,3.89,95.76,8.39,157.03,47.55,84.98,14.01,27.96,3409487,"Sanpada, Navi Mumbai"
2025-02-20 22:45:00+05:30,0.73,1.46,72.44,12.46,157.03,47.55,84.98,15.09,27.96,3409487,"Sanpada, Navi Mumbai"
2025-02-20 23:00:00+05:30,0.36,0.76,58.51,27.52,155.08,47.73,84.98,22.36,27.96,3409487,"Sanpada, Navi Mumbai"
2025-02-20 23:15:00+05:30,0.28,0.65,49.01,30.5,141.11,49.07,84.98,19.22,27.96,3409487,"Sanpada, Navi Mumbai"
2025-02-20 23:30:00+05:30,0.23,67.04,44.01,27.15,141.11,49.07,84.98,17.17,27.96,3409487,"Sanpada, Navi Mumbai"
2025-02-20 23:45:00+05:30,0.28,1.63,39.58,31.47,141.11,49.07,84.98,15.39,27.96,3409487,"Sanpada, Navi Mumbai"
2025-02-21 00:45:00+05:30,0.27,0.5,45.67,23.62,83.98,42.01,84.98,17.54,27.96,3409487,"Sanpada, Navi Mumbai"
2025-02-21 01:00:00+05:30,0.32,0.61,51.85,19.81,94.33,38.67,84.98,17.55,27.96,3409487,"Sanpada, Navi Mumbai"
2025-02-21 01:15:00+05:30,0.33,0.65,55.83,18.16,98.76,37.24,84.98,18.86,27.96,3409487,"Sanpada, Navi Mumbai"
2025-02-21 01:30:00+05:30,0.27,0.61,51.9,17.99,98.76,37.24,84.98,17.95,27.96,3409487,"Sanpada, Navi Mumbai"
2025-02-21 02:00:00+05:30,0.32,0.97,59.99,12.46,108.73,40.86,84.98,17.64,27.96,3409487,"Sanpada, Navi Mumbai"
2025-02-21 02:15:00+05:30,0.32,1.38,68.67,10.64,108.73,40.86,84.98,15.89,27.96,3409487,"Sanpada, Navi Mumbai"
2025-02-21 02:30:00+05:30,0.28,1.04,68.13,9.82,108.73,40.86,84.98,14.95,27.96,3409487,"Sanpada, Navi Mumbai"
2025-02-21 02:45:00+05:30,0.27,0.85,69.84,8.7,125.82,41.08,84.98,17.8,27.96,3409487,"Sanpada, Navi Mumbai"
2025-02-21 03:00:00+05:30,0.27,0.63,58.08,13.35,133.54,41.18,84.98,15.55,27.96,3409487,"Sanpada, Navi Mumbai"
2025-02-21 03:15:00+05:30,0.21,0.56,51.26,15.54,133.54,41.18,84.98,19.48,27.96,3409487,"Sanpada, Navi Mumbai"
2025-02-21 03:30:00+05:30,0.16,0.53,53.58,14.88,133.54,41.18,84.98,21.38,27.96,3409487,"Sanpada, Navi Mumbai"
2025-02-21 03:45:00+05:30,0.13,0.5,47.2,18.31,137.97,41.38,84.98,19.93,27.96,3409487,"Sanpada, Navi Mumbai"
