feature,importance
aqi_rolling_mean_6,7414702534.02478
pm25,1889467620.7894287
pm10,1445312372.9057617
co,1318467961.020874
so2,403232645.5128174
o3_no2_ratio,395211099.8359375
o3,336836518.3059082
no2,252754643.21948242
no_rolling_std_12,224218569.13500977
aqi_lag_1,120422564.90625
aqi_rolling_mean_12,105494404.41308594
aqi_rolling_std_12,90395163.75866699
pm25_temp_interaction,41488155.275634766
so2_humidity_interaction,40059491.76660156
pm25_pm10_ratio,35487061.18237305
latitude,31851339.4342041
co_no2_ratio,30081568.974853516
pm25_humidity_interaction,24231683.836914062
pm10_humidity_interaction,22277451.403076172
pm10_temp_interaction,21942650.68762207
so2_temp_interaction,17975658.857666016
pm10_rolling_mean_6,15098728.539672852
aqi_rolling_mean_24,14643265.788452148
co_temp_interaction,14027908.502441406
relativehumidity_rolling_mean_12,13943607.700195312
aqi_rolling_std_24,11901466.922363281
pm25_rolling_mean_6,11323286.233398438
no,9845460.826171875
temperature,9502747.383300781
co_rolling_max_24,9499460.704833984
so2_rolling_max_24,9310490.393310547
no2_temp_interaction,8938746.653808594
o3_temp_interaction,8492817.308105469
no2_no_ratio,8442533.67211914
co_rolling_mean_6,7590277.591552734
relativehumidity,7579087.6328125
co_rolling_std_12,7545043.5654296875
no2_rolling_std_12,6509929.944702148
no_lag_6,6502324.718017578
o3_rolling_max_24,6320857.249267578
temperature_rolling_mean_12,6209812.919555664
day_of_year,6079666.840332031
relativehumidity_rolling_mean_6,6063637.1259765625
pm10_rolling_std_12,6059366.436767578
so2_rolling_mean_12,5845467.967041016
o3_rolling_std_12,5749152.060791016
co_rolling_std_24,5701784.687133789
no2_rolling_max_24,5675561.150878906
so2_lag_1,5519051.700683594
no_lag_1,5477483.839599609
co_lag_1,5392160.84387207
so2_rolling_mean_24,5368417.281982422
no2_rolling_mean_24,5351656.867675781
loc_6943,5344771.0986328125
o3_lag_6,5327190.865966797
aqi_lag_24,5296142.203613281
so2_lag_24,5210021.934326172
so2_rolling_std_24,5164165.483764648
co_lag_24,5142382.11340332
pm25_lag_12,5041277.2783203125
aqi_lag_6,5017342.285400391
o3_lag_12,4970146.134277344
no_lag_24,4934922.693115234
no_rolling_mean_6,4815632.8916015625
pm25_rolling_std_12,4670121.5517578125
co_lag_6,4644662.811401367
pm25_lag_6,4635499.419433594
relativehumidity_lag_6,4622951.0625
pm10_rolling_max_24,4590365.677734375
hour_sin,4524027.689453125
so2_rolling_std_12,4500392.281494141
temperature_lag_6,4480115.886474609
aqi_lag_12,4351438.826049805
no2_lag_1,4289044.5546875
relativehumidity_lag_1,4244573.6689453125
so2_lag_6,4171291.807373047
no2_lag_6,4108850.327026367
o3_rolling_mean_24,4085796.3825683594
pm10_lag_1,4033881.849609375
no_rolling_mean_24,3930011.8708496094
no2_lag_24,3867601.417236328
no_rolling_mean_12,3843507.7631835938
no_lag_12,3832663.9104003906
o3_rolling_std_24,3825992.5595703125
no2_rolling_mean_6,3803548.885498047
so2_lag_12,3777678.5639648438
pm25_rolling_mean_12,3767666.1455078125
temperature_lag_1,3759706.9868164062
o3_lag_24,3663060.6953125
o3_rolling_mean_6,3654807.7202148438
pm25_rolling_max_24,3629042.3209228516
no2_lag_12,3563693.5166015625
pm25_rolling_std_24,3556404.6467285156
o3_lag_1,3546182.885864258
pm25_lag_24,3468084.2360839844
pm25_lag_1,3458330.009033203
co_lag_12,3427867.1931152344
no_rolling_max_24,3418092.6970214844
pm10_rolling_std_24,3412042.296875
co_rolling_mean_24,3374880.078857422
no2_rolling_std_24,3333412.1306152344
temperature_rolling_mean_6,3330598.6166992188
pm10_rolling_mean_12,3284942.685546875
pm10_lag_6,3281700.053100586
so2_rolling_mean_6,3167825.780517578
distance_from_center,2933711.821044922
pm10_lag_24,2903382.4943847656
co_rolling_mean_12,2832956.693359375
no_rolling_std_24,2782107.9455566406
pm10_rolling_mean_24,2748162.2150878906
pm10_lag_12,2675120.455078125
no2_rolling_mean_12,2569183.956298828
pm25_rolling_mean_24,2563070.67578125
hour,2423692.2041015625
o3_rolling_mean_12,2313245.2478027344
hour_cos,1846839.2827148438
day_sin,1731229.6162109375
day_of_week,1669749.7993164062
loc_3409472,1213807.1645507812
month,1195000.8803710938
day_cos,929420.3251953125
longitude,914487.72265625
loc_3409487,556526.0
month_cos,378799.2321777344
loc_3409477,364112.701171875
loc_3409469,293656.1330566406
month_sin,194531.31494140625
is_weekend,0.0
quarter,0.0
season,0.0
aqi_rolling_max_24,0.0
loc_3409476,0.0
