datetime,station_id,lat,lon,co,no,no2,o3,pm10,pm25,relativehumidity,so2,temperature,overall_aqi,day_of_week,month,hour_sin,hour_cos
2021-01-01 02:30:00+00:00,6943,19.1135051,73.008978,1440.0,,47.55,12.4,275.49,985.0,,3.45,,14400,4,1,0.49999999999999994,0.8660254037844387
2021-01-01 03:30:00+00:00,6943,19.1135051,73.008978,1080.0,,38.81,15.2,237.57,985.0,,6.92,,10800,4,1,0.7071067811865476,0.7071067811865476
2021-01-01 03:45:00+00:00,6943,19.1135051,73.008978,1050.0,,34.15,17.48,212.0,985.0,,8.25,,10500,4,1,0.7071067811865476,0.7071067811865476
2021-01-01 04:15:00+00:00,6943,19.1135051,73.008978,1020.0,,36.25,23.02,212.0,985.0,,11.91,,10200,4,1,0.8660254037844386,0.5000000000000001
2021-01-01 08:30:00+00:00,6943,19.1135051,73.008978,0.0,,10.85,,985.0,985.0,,0.0,,985,4,1,0.8660254037844387,-0.4999999999999998
2021-01-01 10:15:00+00:00,6943,19.1135051,73.008978,1170.0,,98.49,19.95,124.0,102.0,,137.83,,11700,4,1,0.49999999999999994,-0.8660254037844387
2021-01-01 11:00:00+00:00,6943,19.1135051,73.008978,900.0,,45.2,70.74,129.0,92.47,,97.8,,9000,4,1,0.258819045102521,-0.9659258262890682
2021-01-01 11:15:00+00:00,6943,19.1135051,73.008978,900.0,,53.46,63.15,129.0,69.0,,87.0,,9000,4,1,0.258819045102521,-0.9659258262890682
2021-01-01 12:15:00+00:00,6943,19.1135051,73.008978,1100.0,,85.73,40.64,127.0,83.0,,59.58,,11000,4,1,1.2246467991473532e-16,-1.0
2021-01-01 12:30:00+00:00,6943,19.1135051,73.008978,1110.0,,87.82,42.62,132.69,83.0,,48.72,,11100,4,1,1.2246467991473532e-16,-1.0
2021-01-01 13:00:00+00:00,6943,19.1135051,73.008978,1250.0,,101.57,37.04,143.0,87.04,,19.7,,12500,4,1,-0.2588190451025208,-0.9659258262890683
